ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051693	BP	GO:0051693	actin filament capping	3/20	43/20973	8.93145016556908e-06	0.00233414499927263	0.00150782458417054	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0030835	BP	GO:0030835	negative regulation of actin filament depolymerization	3/20	47/20973	1.17066369415984e-05	0.00233414499927263	0.00150782458417054	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0030834	BP	GO:0030834	regulation of actin filament depolymerization	3/20	56/20973	1.99035937596881e-05	0.00233414499927263	0.00150782458417054	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0030041	BP	GO:0030041	actin filament polymerization	4/20	185/20973	2.54231276156199e-05	0.00233414499927263	0.00150782458417054	ENSG00000075340/ENSG00000136842/ENSG00000163554/ENSG00000164877	4
GO:0030042	BP	GO:0030042	actin filament depolymerization	3/20	61/20973	2.57631898374463e-05	0.00233414499927263	0.00150782458417054	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:1901880	BP	GO:1901880	negative regulation of protein depolymerization	3/20	75/20973	4.79275385822421e-05	0.00271389687221946	0.0017531389112978	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0032272	BP	GO:0032272	negative regulation of protein polymerization	3/20	86/20973	7.21541099014501e-05	0.00363175686503965	0.00234606345644481	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0032092	BP	GO:0032092	positive regulation of protein binding	3/20	95/20973	9.70559538569763e-05	0.00366386225810085	0.00236680308528416	ENSG00000075340/ENSG00000110888/ENSG00000163554	3
GO:0000041	BP	GO:0000041	transition metal ion transport	3/20	111/20973	0.000154029882725356	0.00536734899035278	0.00346723136823068	ENSG00000106327/ENSG00000123191/ENSG00000147454	3
GO:0051258	BP	GO:0051258	protein polymerization	4/20	311/20973	0.000190468928410966	0.00615023479493013	0.00397296450096567	ENSG00000075340/ENSG00000136842/ENSG00000163554/ENSG00000164877	4
GO:0051261	BP	GO:0051261	protein depolymerization	3/20	122/20973	0.000203650158772521	0.00615023479493013	0.00397296450096567	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0055076	BP	GO:0055076	transition metal ion homeostasis	3/20	146/20973	0.000345386164854124	0.00854602896332056	0.0055206135745396	ENSG00000106327/ENSG00000123191/ENSG00000147454	3
GO:0010038	BP	GO:0010038	response to metal ion	4/20	372/20973	0.000376780722938207	0.00854602896332056	0.0055206135745396	ENSG00000039068/ENSG00000106327/ENSG00000123191/ENSG00000198838	4
GO:0032535	BP	GO:0032535	regulation of cellular component size	4/20	376/20973	0.000392353328189293	0.00854602896332056	0.0055206135745396	ENSG00000075340/ENSG00000136842/ENSG00000163554/ENSG00000197993	4
GO:1901380	BP	GO:1901380	negative regulation of potassium ion transmembrane transport	2/20	33/20973	0.00044814155192342	0.00922764195551405	0.00596092590596702	ENSG00000055118/ENSG00000197993	2
GO:0051494	BP	GO:0051494	negative regulation of cytoskeleton organization	3/20	174/20973	0.00057670444330154	0.0104498845126239	0.00675047727317171	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:1902904	BP	GO:1902904	negative regulation of supramolecular fiber organization	3/20	181/20973	0.00064682339772415	0.0110629867062288	0.00714653259981786	ENSG00000075340/ENSG00000136842/ENSG00000163554	3
GO:0043267	BP	GO:0043267	negative regulation of potassium ion transport	2/20	40/20973	0.000659383313616288	0.0110629867062288	0.00714653259981786	ENSG00000055118/ENSG00000197993	2
GO:0034329	BP	GO:0034329	cell junction assembly	4/20	459/20973	0.000830438001660733	0.0129720143018039	0.00837973736703027	ENSG00000039068/ENSG00000061273/ENSG00000075340/ENSG00000164877	4
GO:0071248	BP	GO:0071248	cellular response to metal ion	3/20	203/20973	0.000902023368156872	0.0136205528591688	0.0087986840823723	ENSG00000039068/ENSG00000106327/ENSG00000198838	3
GO:0043393	BP	GO:0043393	regulation of protein binding	3/20	212/20973	0.00102243660805829	0.0144738682328252	0.00934991371842781	ENSG00000075340/ENSG00000110888/ENSG00000163554	3
GO:0045216	BP	GO:0045216	cell-cell junction organization	3/20	223/20973	0.00118289332822339	0.0157603140495646	0.0101809394813035	ENSG00000039068/ENSG00000061273/ENSG00000164877	3
GO:0042306	BP	GO:0042306	regulation of protein import into nucleus	2/20	57/20973	0.00133615664385265	0.0170941605121101	0.011042585389489	ENSG00000039068/ENSG00000168734	2
GO:0060135	BP	GO:0060135	maternal process involved in female pregnancy	2/20	59/20973	0.00143079803382803	0.0172072138462986	0.0111156162408993	ENSG00000105610/ENSG00000187266	2
GO:1904589	BP	GO:1904589	regulation of protein import	2/20	62/20973	0.00157861300985519	0.01787779233661	0.0115488004405195	ENSG00000039068/ENSG00000168734	2
GO:0140115	BP	GO:0140115	export across plasma membrane	2/20	79/20973	0.00254718453718208	0.0274732046510353	0.0177473007853789	ENSG00000055118/ENSG00000123191	2
GO:0051604	BP	GO:0051604	protein maturation	3/20	340/20973	0.00392301736984486	0.0390467093089416	0.025223620745639	ENSG00000106327/ENSG00000123191/ENSG00000197993	3
GO:0032386	BP	GO:0032386	regulation of intracellular transport	3/20	349/20973	0.00422070736859208	0.0406804348504726	0.0262789842882105	ENSG00000039068/ENSG00000164877/ENSG00000168734	3
GO:0046916	BP	GO:0046916	cellular transition metal ion homeostasis	2/20	120/20973	0.00576648691390095	0.0483744179999469	0.0312491883443366	ENSG00000106327/ENSG00000123191	2
GO:0030863	CC	GO:0030863	cortical cytoskeleton	3/20	119/21993	0.000164631063718044	0.0102071259505187	0.00675853840526708	ENSG00000039068/ENSG00000136842/ENSG00000163554	3
GO:0051015	MF	GO:0051015	actin filament binding	4/20	232/20738	6.42347629469578e-05	0.0057811286652262	0.00311031483743164	ENSG00000075340/ENSG00000136842/ENSG00000163554/ENSG00000164877	4
GO:0046873	MF	GO:0046873	metal ion transmembrane transporter activity	4/20	458/20738	0.000858965605044794	0.021837729719966	0.0117489540013852	ENSG00000055118/ENSG00000123191/ENSG00000147454/ENSG00000198838	4
GO:0046915	MF	GO:0046915	transition metal ion transmembrane transporter activity	2/20	48/20738	0.000970565765331822	0.021837729719966	0.0117489540013852	ENSG00000123191/ENSG00000147454	2
